DW_LOCALIDADE;id_estado;id_cidade;ds_estado;ds_cidade
21a111910b1dbb9d8e9d0162578f0224c57d34fc4b49530d01758fc991a9cf0c;19;1096;PB;CAAPORA
9cec862bbc7dcca222f00baff2ebd308ef35dee625a65d047eb7869ead05bfa1;4;3878;AM;MANAUS
82d196a2ddcd0183948fbaa5f47df60dabf6fc7433e59944ed278bbe2761b7fc;22;167;PR;ALTO ALEGRE (COLORADO)
4bc13da5e15a4e65331e4d8edaef7b2e73b088fd2e40ab65190fd7a3b6af5432;33;700;SP;BARRA DO TURVO
364d9c5883ca6730111d66f96e2bd6415cd5fc89b74d5b5202c7e7bf4c14c5d4;24;411;RJ;ARARUAMA
446dd566f7cfe5a6ad205c259423bb6202ac7d75563841eaf878bb578e3cc986;3;7022;AL;TEOTONIO VILELA
c3c3268058c8f21e98bf157b83fd1f0e800d4cb8fec7198e0861c4904f9aa775;14;6;MG;ABAETE
f88909e97edbc882829e8166416969348626db8a18825c02056ce9b726c96c6c;14;269;MG;ANDRELANDIA
7cd3fe3aae35886df3f37900af08cbde33dfe33c6d0923a4f74be4090d27582a;14;19;MG;ABRE CAMPO
bdc78f7590272522733cd441a3ece62179344af40a119468d19e339033a907de;6;265;BA;ANDORINHA
f0e0dfeac76e791c6262eae085915bb3501422f635acc250e4dcfcd91d03cd21;14;152;MG;ALPERCATA
3aa3886ba48c8821368944c7e07b8dc3342c3af59ce219ecca6cf51e2cd067e7;14;5183;MG;POCOS DE CALDAS
788685dcfb6bc985a10efc2cf2838502d34bcf320c8e613416bb98b60fe547ee;22;3031;PR;IRATI
7209264be66913c750749e6d35d90560f806ccec66e0898b9097c83007554a7f;3;765;AL;BELEM
9116b90a4690a6f5a04686eb6a08f2b0d4797b4a9980b4721794a178efeac778;19;92;PB;AGUIAR
c3ed84babe14667339c4e6cc5d1f26d0e161f85e0d3e6985e8305bb89428942a;19;603;PB;BAIA DA TRAICAO
087beb5b2c4649b0c13b5646a4493fe27483136f2bef077a82a95dd3ea512752;25;2649;RN;GUAMARE
dca05546414efd7a36d019e70579ddb264d1a5935cc7414a07d8045c4a9094d6;33;238;SP;AMERICO BRASILIENSE
390b65692988c8690826dbae7fe8581b8a4057ed5e8fbc49933db81da5792dac;20;4665;PE;OROCO
2239e6fad0bea6fbb6d9ffb590fd11bb01509c714d1860bed99fa75b7b5a75f5;14;2;MG;(LEOPOLDINA)
3ac21226b416da6b7b5888a70f4359c6fce4a0739d6608a9b1a7dd1b9c09b77a;33;236;SP;AMERICANA
0041b366e9e7d758abdf358c0f766c10dd11127569c4ab0a755261a5dbb6da4d;3;4682;AL;OURO BRANCO
bbb8219aa32060f768982a00c3d8f19e15e8a57a4114a19ba756d9397b47edf3;3;391;AL;ARAPIRACA
ab5f0cb7fa875756cd31656db87ce3dd2964a157ee27e37d47d8574a24264f19;28;599;RS;BAGE
050ad1adf55863363b91c2a4075082fcf6744c046c032b1c86763a2cd2ef180c;28;7390;RS;VIAMAO
97f7089663455693a7105e74bd850d275513807bb2ea175a8e0ef526c65ae9ae;33;1140;SP;CACHOEIRA PAULISTA
6e8678a51121f0ea9bf54fe583173e60f19dda3020b727b5030b7acc455cdf07;21;489;PI;ASSUNCAO DO PIAUI
953a64624818a565dff48aa67b3ba1d3e78fb70673c228d10ca974b74998a130;3;248;AL;ANADIA
ad8ec9356aa366a19b8043bfc2b893ca9bcf03d331d57ae75b7f6270e8a65c83;13;117;MA;ALDEIAS ALTAS
4adad61f2594ec24d3462245d5ce4041a77f0c76910481d75f157e3cbee7c7de;14;96;MG;AIMORES
41635ba74a7d275ae89a5f9a8c5f0b5d8ccf61be96766dc69ccd40fca4f26f22;16;5456;MT;Primavera do Leste
db08a8072e3227f3ddbe7bda8db5e6e16ce923332764395094e8c0b184fd4b76;16;172;MT;ALTO BOA VISTA
0389c1c9ba68fa39c40ed6e466d3c9b2d4062b7bbe5a89fa67ca6bdf7d731482;10;262;ES;ANCHIETA
9f4c99c4450a052f1d55955c3e22e98df2ad3c4c4137acba3cacb4d3558d305c;26;1151;RO;CACOAL
2a0eb38714f07548c72de0cbd15b56df3201d7d5c1305025d80ad4202a84a843;14;146;MG;ALMENARA
8a9e84e9b0016b5d2812cebe13a48dd6e66052bd4062db3b595106366f3f30c3;33;206;SP;ALVINLANDIA
afbcc0968616a169e6d553b55452199c992fa765ba6c2503955688c6bf87132c;20;50;PE;AFRANIO
0c97951a270a3535d4129dbff7aa53719b522f901dc06632c9df8911d73885dd;33;3323;SP;JABOTICABAL
2e513104f51e8e0f1d616ea786f58c869367b4df802951c8b2089f1da9b14301;18;158;PA;ALTAMIRA
4aa3226a517d5f805eabad5575f338bae62902dc2e73a5012f0c6e82122aa71d;22;861;PR;BOCAIUVA DO SUL
1aecac9cb7d7a7b7b5148baf1c1aacd3ad1a23ea7a8432474d89744fe9798852;31;3480;SC;JOINVILLE
fc290cd01b6a446fdd052c40070fb551069cb250ceb576109892285bf5875ebd;33;2261;SP;ESPIRITO SANTO DO PINHAL
37feb192cb88c9a86ced502c06b7c0728d5b52d27e5797d12ef2af3c9112551b;7;725;CE;BARRO
8d6143c5cbd025a5077927f8b4eb00d4227061a8f63a8b2885276db38443495f;21;1193;PI;CAJUEIRO DA PRAIA
34f79a431025929a8b5f88e27bc03c2e77f4854518727c6a8d35222bc255851a;11;5910;GO;SANTA HELENA
210b9678cdd1c533e5b0ee7c208bef90570521e6b0f1b10c91401fc6bea4460b;33;5347;SP;PROMISSAO
ef933eaea6904f39300f0126daf3a02cc2ef482fef9508a465655c7d3b803d54;33;1502;SP;CATANDUVA
e418fdaaaa992a53dcc8b7c3b183db9dd80960ded9c2ce5c93d4d5ba6fcc7513;28;2907;RS;IJUI
84ac0eb0a3af4ffae2c73e8ca0c1db30f294cbf6168fbad7b88a78090b43a1e4;19;243;PB;AMPARO
015cee387db4497f8c4a7082a3440ef3e9d267ee34b4a0d29dbfc1fb439ce1a1;10;132;ES;ALFREDO CHAVES
b8493bda1e301d10ad3ec9d6e2ab26472cec2c86d0f546e66e1482a3bd1873f8;13;1019;MA;BURITICUPU
4b720b21828f44efae72c51dc78696f0828220bec35d86d97c9d86725bb0430f;14;3889;MG;MANHUACU
b1473348028677b618fdb8c4c0c4508c328dd034c328f2ed3ff6d2c4afea54d6;11;758;GO;BELA VISTA DE GOIAS
2eea7a69ac2a463d4ef96767882ff9fb5ea971abe2a757b568a2a66eea27ad34;33;239;SP;AMERICO DE CAMPOS
e9a92993248e97ae8f946c83d5ecb7ea5035766c41cc6695026fec14a3876211;11;67;GO;AGUA FRIA DE GOIAS
6f9a364c34b33bc35570728c5a7f035a99f2357a066b3321214cb8d7e286a4a6;6;1351;BA;CANUDOS
f50cefff0790a4079e59074ba188bd4798f36316d267d0fc89ca6e211356c16e;33;80;SP;AGUAS DE SANTA BARBARA
dbf2da50d97063ea9d83ebe49042313cb40387fa34ff15b678c548f3113beeba;13;6249;MA;SAO JOAO BATISTA
c24cc1b69b5a416097cbf219787411d4a06ddde87f67914e7a51a03efd19532c;7;657;CE;BARBALHA
fefd57d5fe6afb5b26fefff94d3dcf458f5b822144c8d124882b5915f5b3bf92;28;1841;RS;CRUZ ALTA
9b62b395429ee728e2bf209506d28509a3ecf24f9778708323803a42f1e2dbc1;28;2190;RS;ELDORADO DO SUL
b609ce6f4731745147c0a67bae1521f962e434d1e45345327be81cab04ebecf0;31;2674;SC;GUARAMIRIM
20c6ca90142fded819eeda978685435c6389dc9b9bf645bc0a126c35d8bd96a2;24;3055;RJ;ITABORAI
23d714dba1806c09abecbad9fbe52b998a6bc68cfec9fe1dec978a163cdb8988;22;4754;PR;PALMAS
e8e72650bea5b29e1382e9dc857a0b210416bcfcbc24bd364ec10a5c059553fe;13;189;MA;ALTO PARNAIBA
bf98616b7cc7f2c1151e2d46590f20566bb282a2d043cb8dd53b51a6d6cbfb50;19;104;PB;ALAGOA NOVA
17673f0c08e5ddd0d998141d7da5ebb1fda281b23579b80517d5d82b450ca31c;7;359;CE;ARACOIABA
b90ca61a21a7e499b8d8b6ea431d4684d665038e37204995c63c8a0aad562bac;31;403;SC;ARARANGUA
6219bfde2b0d855876bdd55d81f3ec73e1e26b146ccf04f22d31c065e12fefcb;31;4745;SC;PALHOCA
372bc0ae599cd682a3ccb13ea3552dfb5db95d78041a091b9dd18a8adfb30876;28;268;RS;ANDRE DA ROCHA
34bf31e5cb4720949d3642161022e11dddb4f245ece873ce6b831c67fd6179ae;14;131;MG;ALFENAS
38cab0f87d09bc2eba4d386224e53a1533b4a34d39ee54d7e4ae072b98fac44d;6;443;BA;ARGOLO (NOVA VICOSA)
698333bcd975fc9a64933dd86c938c0e6eca42136670d9715c33082ac0949786;18;947;PA;BRAGANCA
7cac4537f8b6efe896841aebe005d5c5d65278c10e5b903e02faba29d0b95f43;14;3529;MG;JURUAIA
a75f495e80a42ec25cac2d690619752f82578abe6d2d643e1af72a58eaf5449e;7;4216;CE;MORADA NOVA
c2ddcae8f38c3d2f684f246b98055a1c2f6bdf9d4a4198715378812371078a8b;11;187;GO;ALTO PARAISO DE GOIAS
6e5dfca78a96c2148d26c38db5a66a9816d626e465434635406731ed5465aa4d;6;5181;BA;POCOES
1d396db9003a3f28b1c0f30c80d9e723865c1a8df2c94457169edaad61eebcfa;6;1270;BA;CAMPO FORMOSO
d2cbd7d7d4ead4be788a9bc91ddb85b7c17a4a54ecfb4c7b7d84b907ee5e805c;24;3808;RJ;MACAE
75d80ed5791ec77416a3a91a134ec9821f54727e55f44b0c7d93333adae277f9;3;59;AL;AGUA BRANCA
f70adbdda32264d2ed3b1129e990936985c34ff35eebba4f2e80292c2cb08818;33;4042;SP;MAUA
605db8d126de3111226ad86a18146b81e22b3c804f4a5948cdaa0581377a2c12;14;1261;MG;CAMPO BELO
56e5cf16a68269ee6e49abb4381988498fbe89434daf476e13aa49688c3d50de;14;810;MG;BETIM
d2cbc296bb4d724c8b6712547b55af9f9d14f2e1da48e63f536c86e7566e067b;31;3142;SC;ITAPEMA
b2e4662bb7aab50a6dfe57198b297bb429bac62ef249da57b2b0f834386f3178;31;3092;SC;ITAJAI
0d46193bd9289954ce2f7988edbff1bd7aecf9102a4afcd1c0c89217dd3f7d59;19;6739;PB;SOUSA
f2986be3711d7136cc6052368b3ec36e8f2ad43efa7196290b99586ff4c64277;10;3143;ES;ITAPEMIRIM
deaaa8703eff7d4680988b4730e71fdd8f2ba0dd7fcd57668d0909e105f9dddf;33;3175;SP;ITAQUAQUECETUBA
e50f82fac0ffe1a500f0be75a0fae8477892a5327c8276ad20e029542dceb60b;20;5541;PE;RECIFE
630b821b7a53a469a4394fe87f5ff527d430c2f8b641ba4980cc76713457d342;31;1585;SC;CHAPECO
c60e78d6ce6a2895a17119bbf19d31eee397b2613e9132eb4ce97fc729f601f5;24;5641;RJ;RIO DE JANEIRO
7bd735820075e34c7b9dd2f2ead0c2369c8a90d4e6696146c2e4b968f1a98cf5;20;4867;PE;PARNAMIRIM
e93ee5548fe021bff78583c348519d9d05ec601cbca919724c9beb7ded6bb275;21;106;PI;ALAGOINHA DO PIAUI
265d36d1c4eb85b64df27027751693f5ed39718c4dfe3adced3954f66f5a4bc4;28;2626;RS;GRAVATAI
c14d056128902852fe4a6fb6132658947276207f8d73af623d8c0ac2a31e3e5b;28;3648;RS;LAJEADO
0ced99b0740107495b10efd0d434c59d70908de73f3eebc9885bef00e9fc00e0;3;740;AL;BATALHA
86554bf9d1223f34667f888172ef8dbfc0b16ee4c1dbc6fd8aa80b8e21a6761f;33;748;SP;BAURU
436cd02c2c9595ebcb3447c80eace8f615149042adc32b3677603c3f3f263f58;33;108;SP;ALAMBARI
d748d1f0c1ffe3150099852cb711aad26ac74c1a828dfc9f7ad0da1fd2b022d7;24;6231;RJ;SAO GONCALO
fc6e5159b7ddd6f081766bcdf761516f0ebd48207a4045c202bc9457ca491e2e;24;4485;RJ;NOVA IGUACU
4390098d186e9f8c052159b4695de74037173d0675865796b4e0ce7d0404577e;6;1213;BA;CAMACARI
8454fcb6bf19b93fb5f90058778a7925fbed80e3e073e391bc6d64a402f9176a;6;699;BA;BARRA DO TARRACHIL (CHORROCHO)
4b4bf1491e8f6140bbed4339f61e29b6b9a7510f5936b1dc1245b91f9be96aa1;22;1281;PR;CAMPO MOURAO
274a4fd6db338b14a2321da1477a1d6fd3fcdd7826843e6dbb260fd09424dcd4;6;2692;BA;GUARATINGA
